Nome_da_Imagem,Local,Periodo,Fundo,N_Itens
colher1.jpg,Fora,Dia,Sacada,3
colher2.jpg,Fora,Dia,Sacada,3
colher3.jpg,Fora,Dia,Sacada,3
colher4.jpg,Fora,Dia,Sacada,3
colher5.jpg,Fora,Dia,Sacada,3
colher6.jpg,Dentro,Dia,Branco,3
colher7.jpg,Dentro,Dia,Branco,3
colher8.jpg,Dentro,Dia,Branco,3
colher9.jpg,Dentro,Dia,Branco,3
colher10.jpg,Dentro,Dia,Branco,3
colher11.jpg,Dentro,Dia,Branco,3
colher12.jpg,Dentro,Dia,Branco,3
colher13.jpg,Dentro,Dia,Branco,3
colher14.jpg,Fora,Noite,Marmore,3
colher15.jpg,Fora,Noite,Marmore,3
colher16.jpg,Dentro,Noite,Sofa,3
colher17.jpg,Dentro,Noite,Sofa,3
colher18.jpg,Dentro,Noite,Sofa,3
colher19.jpg,Dentro,Noite,Sofa,3
colher20.jpg,Fora,Dia,Sacada,3
colher21.jpg,Fora,Dia,Sacada,3
colher22.jpg,Fora,Dia,Sacada,3
colher23.jpg,Fora,Dia,Sacada,3
colher24.jpg,Dentro,Dia,Branco,3
colher25.jpg,Fora,Noite,Marmore,3
colher26.jpg,Fora,Noite,Marmore,3
colher27.jpg,Fora,Noite,Marmore,3
colher28.jpg,Fora,Noite,Marmore,3
colher29.jpg,Fora,Noite,Marmore,3
colher30.jpg,Fora,Noite,Marmore,3
colher31.jpg,Fora,Noite,Marmore,3
colher32.jpg,Dentro,Noite,Sofa,3
colher33.jpg,Dentro,Noite,Sofa,3
colher34.jpg,Dentro,Noite,Sofa,3
colher35.jpg,Dentro,Noite,Sofa,3
colher36.jpg,Dentro,Noite,Sofa,3
colher37.jpg,Dentro,Dia,Branco,3
