Nome_da_Imagem,Local,Periodo,Fundo,N_Itens
perfume1.jpg,Fora,Dia,Sacada,3
perfume2.jpg,Fora,Dia,Sacada,3
perfume3.jpg,Fora,Dia,Sacada,3
perfume4.jpg,Fora,Dia,Sacada,3
perfume5.jpg,Fora,Dia,Sacada,3
perfume6.jpg,Fora,Dia,Sacada,3
perfume7.jpg,Fora,Dia,Sacada,3
perfume8.jpg,Fora,Dia,Sacada,3
perfume9.jpg,Fora,Dia,Sacada,3
perfume10.jpg,Dentro,Dia,Branco,3
perfume11.jpg,Dentro,Dia,Branco,3
perfume12.jpg,Dentro,Dia,Branco,3
perfume13.jpg,Dentro,Dia,Branco,3
perfume14.jpg,Dentro,Dia,Branco,3
perfume15.jpg,Dentro,Dia,Branco,3
perfume16.jpg,Dentro,Dia,Branco,3
perfume17.jpg,Dentro,Dia,Branco,3
perfume18.jpg,Dentro,Dia,Branco,3
perfume19.jpg,Fora,Noite,Marmore,3
perfume20.jpg,Fora,Noite,Marmore,3
perfume21.jpg,Fora,Noite,Marmore,3
perfume22.jpg,Fora,Noite,Marmore,3
perfume23.jpg,Fora,Noite,Marmore,3
perfume24.jpg,Fora,Noite,Marmore,3
perfume25.jpg,Fora,Noite,Marmore,3
perfume26.jpg,Fora,Noite,Marmore,3
perfume27.jpg,Dentro,Noite,Sofa,3
perfume28.jpg,Dentro,Noite,Sofa,3
perfume29.jpg,Dentro,Noite,Sofa,3
perfume30.jpg,Dentro,Noite,Sofa,3
perfume31.jpg,Dentro,Noite,Sofa,3
perfume32.jpg,Dentro,Noite,Sofa,3
perfume33.jpg,Dentro,Noite,Sofa,3
perfume34.jpg,Dentro,Noite,Sofa,3
perfume35.jpg,Dentro,Noite,Sofa,3
perfume36.jpg,Dentro,Dia,Branco,3
perfume37.jpg,Fora,Noite,Marmore,3
