Nome_da_Imagem,Local,Periodo,Fundo,N_Itens
copo1.jpg,Fora,Dia,Sacada,3
copo2.jpg,Fora,Dia,Sacada,3
copo3.jpg,Fora,Dia,Sacada,3
copo4.jpg,Fora,Dia,Sacada,3
copo5.jpg,Fora,Dia,Sacada,3
copo6.jpg,Fora,Dia,Sacada,3
copo7.jpg,Fora,Dia,Sacada,3
copo8.jpg,Dentro,Dia,Branco,3
copo9.jpg,Dentro,Dia,Branco,3
copo10.jpg,Dentro,Dia,Branco,3
copo11.jpg,Dentro,Dia,Branco,3
copo12.jpg,Dentro,Dia,Branco,3
copo13.jpg,Dentro,Dia,Branco,3
copo14.jpg,Dentro,Dia,Branco,3
copo15.jpg,Fora,Noite,Marmore,3
copo16.jpg,Fora,Noite,Marmore,3
copo17.jpg,Fora,Noite,Marmore,3
copo18.jpg,Fora,Noite,Marmore,3
copo19.jpg,Fora,Noite,Marmore,3
copo20.jpg,Fora,Noite,Marmore,3
copo21.jpg,Fora,Noite,Marmore,3
copo22.jpg,Dentro,Noite,Sofa,3
copo23.jpg,Dentro,Noite,Sofa,3
copo24.jpg,Dentro,Noite,Sofa,3
copo25.jpg,Dentro,Noite,Sofa,3
copo26.jpg,Dentro,Noite,Sofa,3
copo27.jpg,Dentro,Noite,Sofa,3
copo28.jpg,Dentro,Noite,Sofa,3
copo29.jpg,Fora,Dia,Sacada,3
copo30.jpg,Fora,Dia,Sacada,3
copo31.jpg,Dentro,Dia,Branco,3
copo32.jpg,Dentro,Dia,Branco,3
copo33.jpg,Dentro,Dia,Branco,3
copo34.jpg,Fora,Noite,Marmore,3
copo35.jpg,Fora,Noite,Marmore,3
copo36.jpg,Dentro,Noite,Sofa,3
copo37.jpg,Dentro,Noite,Sofa,3
