Nome_da_Imagem,Local,Periodo,Fundo,N_Itens
garrafa1.jpg,Fora,Dia,Sacada,3
garrafa2.jpg,Fora,Dia,Sacada,3
garrafa3.jpg,Fora,Dia,Sacada,3
garrafa4.jpg,Fora,Dia,Sacada,3
garrafa5.jpg,Fora,Dia,Sacada,3
garrafa6.jpg,Dentro,Dia,Branco,3
garrafa7.jpg,Dentro,Dia,Branco,3
garrafa8.jpg,Dentro,Dia,Branco,3
garrafa9.jpg,Dentro,Dia,Branco,3
garrafa10.jpg,Fora,Noite,Marmore,3
garrafa11.jpg,Fora,Noite,Marmore,3
garrafa12.jpg,Fora,Noite,Marmore,3
garrafa13.jpg,Fora,Noite,Marmore,3
garrafa14.jpg,Fora,Noite,Marmore,3
garrafa15.jpg,Fora,Noite,Marmore,3
garrafa16.jpg,Dentro,Noite,Sofa,3
garrafa17.jpg,Dentro,Noite,Sofa,3
garrafa18.jpg,Dentro,Noite,Sofa,3
garrafa19.jpg,Dentro,Noite,Sofa,3
garrafa20.jpg,Dentro,Noite,Sofa,3
garrafa21.jpg,Dentro,Noite,Sofa,3
garrafa22.jpg,Fora,Dia,Sacada,3
garrafa23.jpg,Fora,Dia,Sacada,3
garrafa24.jpg,Fora,Dia,Sacada,3
garrafa25.jpg,Dentro,Dia,Branco,3
garrafa26.jpg,Dentro,Dia,Branco,3
