Nome_da_Imagem,Local,Periodo,Fundo,N_Itens
caneca1.jpg,Fora,Dia,Sacada,3
caneca2.jpg,Fora,Dia,Sacada,3
caneca3.jpg,Fora,Dia,Sacada,3
caneca4.jpg,Fora,Dia,Sacada,3
caneca5.jpg,Fora,Dia,Sacada,3
caneca6.jpg,Fora,Dia,Sacada,3
caneca7.jpg,Dentro,Dia,Branco,3
caneca8.jpg,Dentro,Dia,Branco,3
caneca9.jpg,Dentro,Dia,Branco,3
caneca10.jpg,Dentro,Dia,Branco,3
caneca11.jpg,Dentro,Dia,Branco,3
caneca12.jpg,Dentro,Dia,Branco,3
caneca13.jpg,Fora,Noite,Marmore,3
caneca14.jpg,Fora,Noite,Marmore,3
caneca15.jpg,Fora,Noite,Marmore,3
caneca16.jpg,Fora,Noite,Marmore,3
caneca17.jpg,Fora,Noite,Marmore,3
caneca18.jpg,Dentro,Noite,Sofa,3
caneca19.jpg,Dentro,Noite,Sofa,3
caneca20.jpg,Dentro,Noite,Sofa,3
caneca21.jpg,Dentro,Noite,Sofa,3
caneca22.jpg,Dentro,Noite,Sofa,3
caneca23.jpg,Dentro,Noite,Sofa,3
caneca24.jpg,Dentro,Dia,Branco,3
caneca25.jpg,Dentro,Dia,Branco,3
caneca26.jpg,Fora,Noite,Marmore,3
