Nome_da_Imagem,Local,Periodo,Fundo,N_Itens
caneta1.jpg,Fora,Dia,Sacada,3
caneta2.jpg,Fora,Dia,Sacada,3
caneta3.jpg,Fora,Dia,Sacada,3
caneta4.jpg,Dentro,Dia,Branco,3
caneta5.jpg,Dentro,Dia,Branco,3
caneta6.jpg,Fora,Noite,Marmore,3
caneta7.jpg,Dentro,Noite,Sofa,3
caneta8.jpg,Fora,Dia,Sacada,3
caneta9.jpg,Fora,Dia,Sacada,3
caneta10.jpg,Fora,Dia,Sacada,3
caneta11.jpg,Fora,Dia,Sacada,3
caneta12.jpg,Dentro,Dia,Branco,3
caneta13.jpg,Dentro,Dia,Branco,3
caneta14.jpg,Dentro,Dia,Branco,3
caneta15.jpg,Dentro,Dia,Branco,3
caneta16.jpg,Fora,Noite,Marmore,3
caneta17.jpg,Fora,Noite,Marmore,3
caneta18.jpg,Fora,Noite,Marmore,3
caneta19.jpg,Fora,Noite,Marmore,3
caneta20.jpg,Fora,Noite,Marmore,3
caneta21.jpg,Dentro,Noite,Sofa,3
caneta22.jpg,Dentro,Noite,Sofa,3
caneta23.jpg,Dentro,Noite,Sofa,3
caneta24.jpg,Dentro,Noite,Sofa,3
caneta25.jpg,Dentro,Noite,Sofa,3
