Nome_da_Imagem,Local,Periodo,Fundo,N_Itens
bone1.jpg,Fora,Dia,Sacada,3
bone2.jgp,Fora,Dia,Sacada,3
bone3.jpg,Fora,Dia,Sacada,3
bone4.jpg,Fora,Dia,Sacada,3
bone5.jpg,Fora,Dia,Sacada,3
bone6.jpg,Fora,Dia,Sacada,3
bone7.jpg,Dentro,Dia,Branco,3
bone8.jpg,Dentro,Dia,Branco,3
bone9.jpg,Dentro,Dia,Branco,3
bone10.jpg,Dentro,Dia,Branco,3
bone11.jpg,Dentro,Dia,Branco,3
bone12.jpg,Dentro,Dia,Branco,3
bone13.jpg,Dentro,Dia,Branco,3
bone14.jpg,Fora,Noite,Marmore,3
bone15.jpg,Fora,Noite,Marmore,3
bone16.jpg,Fora,Noite,Marmore,3
bone17.jpg,Fora,Noite,Marmore,3
bone18.jpg,Fora,Noite,Marmore,3
bone19.jpg,Fora,Noite,Marmore,3
bone20.jpg,Fora,Noite,Marmore,3
bone21.jpg,Dentro,Noite,Sofa,3
bone22.jpg,Dentro,Noite,Sofa,3
bone23.jpg,Dentro,Noite,Sofa,3
bone24.jpg,Dentro,Noite,Sofa,3
bone25.jpg,Dentro,Noite,Sofa,3
bone26.jpg,Dentro,Noite,Sofa,3
bone27.jpg,Dentro,Noite,Sofa,3
bone28.jpg,Fora,Dia,Sacada,3
bone29.jpg,Fora,Dia,Sacada,3
bone30.jpg,Fora,Dia,Sacada,3
bone31.jpg,Dentro,Dia,Branco,3
bone32.jpg,Dentro,Dia,Branco,3
bone33.jpg,Fora,Noite,Marmore,3
bone34.jpg,Fora,Noite,Marmore,3
bone35.jpg,Dentro,Noite,Sofa,3
bone36.jpg,Dentro,Noite,Sofa,3
